id,text,label
sample_00122,"Title: Easy
Review: Worth the money",2
sample_07655,"Title: Love them
Review: Adorable! Comfortable! Light and love them!",2
sample_06132,"Title: Didn't like the material
Review: Cute but didn't like the dry fit material",0
sample_03055,"Title: Needs To Be Reapplied
Review: The color is a darker, but pretty shade of lipstick. The picture in the description is pretty accurate. My teenage daughter has to wear a similar color for color guard performances, so she is excited to have this.  It doesn't really look metallic, but for her performances, that's fine. It doesn't last very long and has to be reapplied frequently to maintain the intensity. Overall, it's an average, decent, drug store quality lip product.",1
sample_07301,"Title: Not good
Review: Too hard to program.<br />I ended up buying a easier times, do I wasted my money on that one.",0
sample_03217,"Title: Meh
Review: I wish they were bigger and smelled stronger.",1
sample_00753,"Title: Just okay
Review: Not as cool as i would have liked.  a bit disappointing.",1
sample_06706,"Title: Super cute, but causes my feet to sweat/smell more ...
Review: Super cute, but causes my feet to sweat/smell more than any other pair of shoes I own- even with half-socks.",1
sample_03676,"Title: Smells horrible and made me itch
Review: I can try to get past the smell of this product, especially if it will work. But last night when I applied it to my upper legs after I showered, within a couple of minutes I began to itch. I waited a couple minutes to see if it would stop and it got worse. I removed my pants and my legs were getting red blotches. I jumped back into the shower and scrubbed this lotion off. Honestly I can’t imagine any product smelling this bad and that makes me wonder if I was sent an old container.",0
sample_00619,"Title: Decent basic wired buds
Review: Basic wired earbuds, a step up from what you would get on an airplane to watch their movies with. Good bass, decent treble. To be honest, most of my earbuds now are Bluetooth and wireless so I will not have a longterm use for these, but will keep them around to use with my laptop or my old school ipod. Not sure what the price of these are (web page is currently showing as unavailable), so I can't comment on the value. Recommend these if you are in the market for a set of wired buds.",2
sample_02266,"Title: outlet extender with USB ports
Review: I needed an outlet extender with USB ports and decided to try this one.  It's really easy to install - if I can do it, anyone can.  Comes with a stabilizer screw that I highly recommend you install so that you can easily unplug stuff without pulling the extender out.  It also has a soft light frame around the front side - comes on when dark.  Very handy for under then cupboards where it can be dark.  The only ""down"" side is how far it sticks out from the wall - a good 2 1/2"" or more just eyeballing it.  So, if you've got room for that, this is a great option.",2
sample_08011,"Title: Not cozy, cheesy.
Review: I bought this from good reviews that was sent to me from the huff post!<br />These pj are not warm and cozy, there a cheesy fabric that is cold to wear, and clingy.<br />I thought I ordered the black bottoms with the white top, the bottom was navy with bright pink<br />Poke-dots The color pink looked like it was running into the navy blue! Not a good look.<br />I thought I would give this away, but Nobody wanted it.<br />I’m 5’1, 117 lbs, ordered med. size is ok.<br />I’m returning this.",0
sample_08963,"Title: Love these so much I got 2 pairs
Review: Very comfortable, light weight, quick drying, slightly stretchy. I like to wear these around town, to do yoga, and to hike in the sun & heat. I feel even cooler than I would wearing shorts.",2
sample_06714,"Title: not as advertised
Review: These shoes run true to size - but you better be CERTAIN about your sizing (see below).  They are comfortable. The two straps allow some adjustment in comfort.  That's all I can say that is positive.  In my opinion, after receiving them and putting them on...the wide strapping makes them look almost orthotic in a not so great way - just my personal opinion.  Something less of a personal opinion - They advertise as ""leather.""  I ordered the black (no print) - the are NOT leather.  They are some type of faux leather - a petroleum or similar based faux leather - so there is an odor.  Disappointing to say the least.  Now, you might consider returning them right?  However, there is a 20% ""restocking"" fee.  Really?  When you aren't selling what you say you're selling.  That's BS.  This brand is available elsewhere and I would recommend shopping for them elsewhere.  I never hesitate to update my reviews should new info seem useful - however, I will probably donate these.",0
sample_07894,"Title: Cheap quality
Review: The material is very cheap. Also shiny.",0
sample_06513,"Title: Another great pair of Aravon sandals.
Review: Aravon are my favorite brand. Sandals are comfortable and great for walking.",2
sample_01902,"Title: Didn't work on my stereo, had to return it.
Review: Didn't work on my stereo.  Sure looks like the one I broke and fits like it should but sounds muffled.  Either it's defective or it's the wrong size.",0
sample_06373,"Title: Pass
Review: I don't care for these because they have attending see to tickle my cheeks Right by the eyes were they rub. They come loose constantly as well so I have to take my glasses off to tighten those little rubber holders",1
sample_07828,"Title: Cute but way too big
Review: Cute shoes; extremely disappointed they weren’t even close to fitting.  They were too long and too wide (especially for shoes advertised as extra narrow)!  Sadly I’m stuck with them since they have to be mailed to China as opposed to Amazon.",0
sample_04560,"Title: Just an average product, really.
Review: I wanted to like this more, but its lacking in a few areas:<br />1. The fragrance is kind of blah, I prefer something fresher and cleaner scented<br />2. It didn't really do anything exrra to prevent hair breakage/loss<br />3. It also didn't really leave the softness that I like in a leave in product.<br /><br />That being said, it didn't weigh down fine-textured hair or make it look greasy",1
sample_05725,"Title: My favorite colored-hair shampoo and conditioner!!!
Review: The scent is fresh like apples and the lather is nice without being stripping to the hair. The conditioner replenishes whatever the shampoo removes and did I say I love the scent?? ☺️ Good sizes for the price....",2
sample_01313,"Title: Great purchase!
Review: Excellent product. Great customer service.",2
sample_05224,"Title: Works ok
Review: This is a decent nose hair trimmer. Doesn’t come with a battery. Requires 1 AA battery. Seemed to remove nose hair well. Felt like it tugged on bit but overall seems effective.",1
sample_06589,"Title: Top too big to match bottom
Review: Top was way too big to match size of bottoms. The shirts were fine. Extremely large armholes. Large bottoms fit fine.  Typically I wear a large top and bottom. I returned.",0
sample_04636,"Title: Dried out my skin
Review: I added this toning mist to my routine about a year ago. I prefer to change products every once in a while so that my skin doesn't get too accustomed to a particular product. I thought it was great for a long time. I had noticed that I was getting dry patches on my face, but I thought it was just part of the aging process. When I started removing products from my routine to determine if the dryness was caused by a product, I deduced that this toner was drying my skin. I've tossed the last unopened bottle I had in a drawer. I didn't even want to give it to a friend to try.",0
sample_03122,"Title: Moisturizing but greasy, greasy, greasy  & takes about 30 minutes to absorb
Review: This gets 2.4 stars from me.  This is very moisturizing but it is super greasy and takes about 30 minutes to absorb into my skin. I wish it had a fragrance because fragrance free does not mean it does not smell. It smells like Vaseline to me and I do not like that smell which is why I wish there was a nice perfume to this.<br /><br />My hands felt very soft after using this cream, so I loved the results. I just hate that greasy feeling that takes a long time to dissipate. Note that it is a very thick cream perfect for use in the winter months.",0
sample_07672,"Title: Runs very small, difficult to clean/wash
Review: So I’m a 9, sometimes a 9.5. The 9-10 size sounded perfect. Nope. Get a size up. They also dirty VERY easily but what are you gonna do about that",0
sample_07424,"Title: I washed it and it frayed and it cannot be fixed
Review: Would not buy it again it’s a piece of crap",0
sample_06570,"Title: Horrible craftsmanship @@@@ Great Stones
Review: I was so excited to order these earrings because I had just gotten a beautiful Blue Topaz and Diamond ring for my 20th anniversary.  However, I open then and the stems and claps are so thin you could barely hold them and one of the stems was actually stretched out of shape.  If you are looking for great stones that you want to have set this is your item.",0
sample_02570,"Title: Didn't work.
Review: Didn't work.  Right out of the box it barely worked.  Got it hooked up to the WiFi but the speaker didn't work.  You couldn't hear anyone answer the door bell.  On the app side, you couldn't hear anyone at the door bell.  I have two outdoor cameras of Netvue and they work just fine.  Maybe this is defective?",0
sample_08896,"Title: Very comfortable to stand in but not that comfortable to walk in
Review: When I first tried these on I was impressed. However, after walking a little bit with these, I would never purchase them again.<br /><br />LIKES<br />- They are very comfortable to stand in because it feels like I am standing on a soft cushion of air.<br /><br />DISLIKES<br />- When I walk with them I feel like I have to exert a lot of foot muscle strength just to keep them on my feet and my feet get tired.<br /><br />- The arch support is good but not great.<br /><br />- Because they feel airy, it feels like these will wear out rapidly.<br /><br />- They make my feet sweat like clogs.<br /><br />- The red color I ordered comes off on my feet and/or socks<br /><br />In summary, I would not purchase them again had I known what it would feel like to wear them for a few blocks. They claim that these are machine washable but what good is that if the color runs. They are very comfortable as slippers but not really good for me for outside wear.",0
sample_02031,"Title: I tried.
Review: I received this as a gift from my parents. I regarded their gesture so thoughtful that I replaced it when it stopped working after 4 months of light use. I don't want a refund. My thought, my fantasy, is that I can physically put this device in the hands of one of its designers and watch as they toil to no avail as I have. I can think of no better punishment for the people who got away with calling this a tablet. Setting them on ""fire"", while slightly ironic, would not compare to the agony one would experience operating this device for one day without being able to experience the gratification that one would feel using it as target practice. TO THE CONSUMER: CAVEAT EMPTOR. A $50 IPAD IS A SMASHABLE PAPERWEIGHT. I gave it two stars because I feel guilty about telling my parents how much it is really worth.",0
sample_02358,"Title: Great product!
Review: This will be good for keeping batteries stored for future use.",2
sample_05113,"Title: Great hold, great smell, not your Grandfather's Old Spice!
Review: I got this for my son (age 35) to use. He typically likes to use some kind of gel in his hair to help maintain the slightly spikey look he likes his hair to have. He was reluctant at first, thinking Old Spice was something his grandfather used to use. He was pleasantly surprised. It smelled great, was easy to apply and his hair held well all day without any stickiness. This would make a great stocking stuffer for Christmas (in fact, I already ordered another set for that very reason). Highly recommend.",2
sample_06658,"Title: Not so great
Review: Sent back were not made good and I do alot of walking ...",0
sample_02310,"Title: cheap
Review: hard to crank to fit your phone real janky",0
sample_04705,"Title: Anti-bacterial wax that is not as softening as the Therabath wax
Review: I purchased a [[ASIN:B0047RWN3E Therabath Professional Paraffin Bath]] a couple of years ago and use to purchase the this [[ASIN:B000FEKMQI Lavender Harmony Therabath Paraffin Wax Refill]] for it. Those wax refills are six one-pound packages of tiny wax beads in a light lavender.<br /><br />However, recently I decided to buy 12 pounds of this MAS208 Lavender wax that is anti-bacterial because I was unable to find the Therabath refills. This wax is a deep purple, has a nice lavender fragrance, and the bars are mostly solid except for some liquid (about one tablespoon's worth) in each package.<br /><br />Although the wax is similar, I am actually not impressed with the results because my hands do not feel as soft as with the other wax.  After trying this, I would not buy it again if I can find the other wax since Therabath wax makes my hands doubly soft.",1
sample_04359,"Title: Two decent-sized bars; produces light lather; cleanses well; not exfoliating
Review: There are two 5-ounce bars of soap in this package. At the current price of $18, that comes to an expensive $9 per bar.<br /><br />There are two different scents. The fig leaves and white musk bar doesn't smell great to me. However, I like the fresh citron and driftwood fragranced one. That is the bar I tried. It produced a light lather, cleansed well, but did not feel exfoliating at all.<br /><br />After having tried these, I do not feel they are any more special than store-bought soap. Therefore, paying a premium for them seems foolish.",1
sample_07791,"Title: Perfect!
Review: I work in a hospital and am on my feet all day.  These are comfortable while also being supportive. They look great too.",2
sample_08955,"Title: Soft
Review: I tend to go barefoot as long as I can, but once the weather gets cold, I'm a slipper kind of girl. These slippers run a little small. I wear a size 10W women's shoe. My heel hangs off the back of these. I was also expecting them to be super comfortable with a squishy foot bed, but there's no padding or cushion at all. It's like walking on the floor. The furry part of the slipper is very soft. I like the way the look. They're just not the comfy/cozy slippers I need.",1
sample_07428,"Title: White, not shiny mettalic
Review: It is not shiny metallic, just white vinyl. I will use it.",1
sample_04519,"Title: Great quality sulfate free shampoo!
Review: Really nice, sulfate free shampoo. I love the fragrance (lavender and vanilla) and the way it smooths my hair. It contains aloe, argan oil, shea butter and jojoba, so it is great for my hair as well. I typically get keratin treaments several times a year to help defrizz my hair and this sulfate free shampoo is a great way to maintain between treatments. Highly recommend!",2
sample_08962,"Title: BEWARE, pretty but not practical
Review: although the watch looks nice if you look closely at the face, there is no way this watch can support the functions on the face.  Plus, the months and days are so close together you cant tell if its December or July.  And it only points to 3 of the 7 days of the week.  Watch came without any directions, etc.  when I wrote manufacturer...no response<br /><br />As nice as the watch looks, its a piece of junk if the functions can be accessed.",0
sample_08266,"Title: blah
Review: Doesn't fit at all as expected. Runs smaller.",0
sample_08000,"Title: Great buy and good price.  Just do it!
Review: Warm and cozy.  They feel great and will definitely order more.",2
sample_02626,"Title: Self harm sticker not cool
Review: Not only are these tiny, there was one which showed a woman with a knife on her wrist.",0
sample_05706,"Title: Hydrating but have no idea if it works; HATE the burnt coffee smell
Review: I am surprised at so many 5-star reviews. I tried this on my face and neck and it felt hydrating. It did not feel cooling to me and I have no idea if it calms sensitive skin. Initially, I thought it had a nice fragrance but after a few minutes, it smelled like burnt coffee. The odor is so repulsive to me, that I had to wash my face and neck to remove it. Even then the odor lingered. I absolutely HATE this due to the odor.<br /><br />The current price is $32, which is expensive, especially if one can't use this.",0
sample_07150,"Title: very good for the first few months
Review: Have used these for about 4 months now. The price i beleive is fair, was advertised as a tough working boot, i normally work 12 hour days sometimes longer than that. in these four months of use it feels loose now. I tighten them almost as much as possible and they seem ok, maybe not as comfortable as qhen they were new.<br />When they were new out of the box i found they were better than most other boots i have used. (before i used ariats and timberland pro)",1
sample_03469,"Title: Really nice daily facial serum!
Review: I really like this RevitaPearl system. I have been using serums for over 20 years now and I am always looking for something new to change up my beauty regimen. This serum had ingredients that my other serums don't, so I was anxious to try it. I love the way it is applied with a dropper type head, it allows me to apply it easily to my face in the right spots and in the right amount. This is light and absorbs quickly into my skin. After using this daily for two weeks, I can say my skin looks glowing and healthier. Also, the skin around my eyes in noticeably plumper which makes the wrinkles appear less. Highly recommend for daily use for every skin type.",2
sample_08426,"Title: Nice product,  not as loose fitting as I would have liked.
Review: This product was not as oversized as I expected.  I order a larger size for the comfort and still not super loose.",1
sample_02359,"Title: Returned
Review: Returned. Poor quality. Flimsy.",1
sample_06555,"Title: Pretty good
Review: My 11 year old is on the small side and these were slightly too big but she can still wear them. We also cut off the button on the front so it doesn’t show through shirts.",1
sample_08101,"Title: Necklace
Review: I like this necklace set. But it came apart first day.",2
sample_00599,"Title: What's the big deal?
Review: this player is ok, but not nearly worth $500. i'm hoping the price will be justified in longevity.<br /><br />also, it's no better than other players at locating where you left off. apparently blu-rays either have this feature or not, so the player doesn't matter. nor is the picture noticeably better than my other blu-ray player.<br /><br />i suppose it's better at pulling in the web, but i only use that for netflix, and that looks the same here as it does on my TIVO.<br /><br />also, it's really bulky, and i see no reason for that.<br /><br />so unless, it has something you can't live without, i don't recomment it. seems like total hype to me.",0
sample_05377,"Title: Great.
Review: Easy way to handle a pony, making it look classy at the same time.  Really liked.  Good fabric.",2
sample_06995,"Title: Didn't last
Review: Very comfortable but lasted 3 months! ..get what you pay for",0
sample_05522,"Title: Like a car-wash sponge; big & difficult to work with; definitely not exfoliating
Review: After trying this, I am definitely not a fan. I prefer my mesh $2 buff puff over this any day.<br /><br />First of all, this sponge is large and thick like a car-wash sponge. This makes it difficult to work with. Also, it is somewhat soft, so it is not exfoliating - though I prefer soft over scratchy. In addition, when using soap on this sponge is does not lather up like it does with my buff puff.<br /><br />In summary, I personally do not care for this set of sponges. However, if a sponge like this is something one likes, then this is as functional as any other of its kind, just don't expect it to act like a loofah.",0
sample_03399,"Title: Brush applicator is lousy and the blue is not rich in color
Review: I have blue eyes and always used the Maybelline Royal Blue Mascara that  I can no longer find in stores and which is way too expensive on Amazon.  As a result, I decided to buy this mascara and I am very disappointed.<br /><br />The mascara is not a deep rich blue like I expected. It also goes on very light and the applicator is horrendous. The brush head is a thick and thin twisting spiral that makes it practically impossible to apply a generous helping of mascara. In addition, the mascara almost seems dried out in the tube.<br /><br />Overall, I'm very disappointed.",0
sample_08692,"Title: Runs small, nice colar
Review: Returned",0
sample_01807,"Title: REALLY EASY TO PUT ON MY MINI-I-PAD
Review: I got this and immediately took out the directions. I cleaned my mini I-Pad's screen with the enclosed things with which to clean it.  After cleaning the screen, I placed the screen protector on the I-pad and it was very easy to get it placed on the screen without having to do much adjustment.  I'm very pleased with this screen protector.",2
sample_05710,"Title: THE SMELL! Doesn't look safe to wear on face or hair!
Review: This product looked all fun and games until I opened it... first of all I am not sure why I bought it in the first place but I assume I thought it would be fun to use on my hair, and I am wondering now anyone know what kind of effect alcohol has on hair? Because this product smells very strongly of alcohol, I doubt you can put this anywhere near your face the smell is obnoxiously strong alcohol I almost feel as if you were putting actual alcohol on your face, I don't even want to imagine what would happen if GOD FORBID this got into your eyes. I can only imagine if you actually wear this product on your hair how difficult it must be to remove and then there is no way it is not getting into your eyes if you do... and it smells so strong that I'm sure it's dangerous... I am sad because the gel looks amazing and it is very glittery but ...there is just no way I am using this.",1
sample_04211,"Title: works well
Review: I love the Amope and so these are the perfect accompanying purchase of course.  If you're on the fence, honestly, this file really works.  As opposed to the dozens of other things I have tried.  These happened to be cheaper than I could purchase locally too.<br />UPDATE 7/20/2015.... A couple of observations...The handheld machine itself does stop spinning if you apply too much pressure... but I consider this a safety thing.  You don't want to accidentally injury yourself with too much pressure.  After months of use, still my favorite &#34;home&#34; callus remover.",2
sample_04645,"Title: Not For Me
Review: These bands are not as thick as others that I have gotten. They're actually quite thin and similar to a regular hair band in appearance except for the coils. I have thick, coarse hair that goes just past my shoulders. After trying these out, I have decided that these bands are not for me. They stretch well, but to hold my hair up, I have to go 3 times around my ponytail and that's still not enough to hold my hair securely. I'm afraid to go around a 4th time out of fear that it will break. They go back to their original shape quickly. I'm going to give these to my daughter. Her hair isn't as thick as mine. She also wears pig tails sometimes and they might work better with that style.",1
sample_05799,"Title: Great full service hair clipper kit
Review: This is a really high quality clipper set. I got this during the 2020 pandemic and thought I would try to give my two grandsons haircuts. To be honest, I never gave a haircut before so I was a little nervous (luckily they are only ages 3 and 6). I was amazed how easy this was to use. Their hair came out neat and even and I really had no difficulty at all. In fact, my daughter in law asked if she could bring them back to my house when they need their next trim, lol. Anyway, I highly recommend keeping a set like this in your home, you may find it comes in handy. I can see using this for a man's neck trim between cuts which helps save money and extends the time between salon visits.",2
sample_00955,"Title: It works, but...
Review: This mouse is fine, but nothing special. The small USB transceiver is nice. It's out of the way and won't catch on anything. The mouse itself tracks on just about anything and is very reliable. The battery compartment is easy to access, no hassle replacing the single battery. I comes with a brand name battery uninstalled which is very nice. No software to install these days, the old Vista machine recognizes it without issue.<br /><br />However, it's too lightweight for my tastes. The “click” feels cheap to me and the scroll wheel is stiff. I have an older Logitech wireless mouse that has the larger USB transceiver and the batteries are a hassle to change, but it feels solid and works great. To be fair, this is a “Mobile Mouse”, so maybe lightweight should have been expected. I just didn't realize how much I would dislike the weight difference.<br /><br />I  won't send this Microsoft mouse back, but I wouldn't buy it again. I haven't had any problems with this mouse, it's just personal preference. I'll just use the Microsoft as a travel mouse. I suppose it's also possible that operation becomes smoother with use, but I'm in no hurry to use this mouse.",1
sample_00865,"Title: wireless noise cancelling bose over ear headphones
Review: They work great and paired with everything I wanted them to.  Came with a spray on ear cover cleaner I wasn't expecting.  I've tried so many ear 'pods' and they just won't stay in my ears.  So, back to the over the ear Bose.  Wireless is awesome.  Having said all of this, I never hesitate to update my reviews should new info seem useful.",2
sample_03077,"Title: works well smells awful
Review: doesnt smell very good but works well",2
sample_04372,"Title: Easy to use, works amazing!
Review: This is a super easy to use eyebrow trimmer razor. With two blades, it is easy to use and style your brows at the same time. I love the LED light which helps me to see what I am doing while using a magnifying mirror. Takes only minutes to use, you get a perfect spa brow trim and contouring is a breeze. Saves me loads of money from getting my brows done at the salon monthly. Highly recommend.",2
sample_04255,"Title: Scent too strong for me
Review: Comes well sealed. Hard to get lotion out through little hole on top of bottle. Feels nice and moisturizing on my hand. Smells nice but too strong for me.",1
sample_00818,"Title: Update
Review: Incredible. I've heard sounds I never heard before. Skynyd's &#34;Free Bird&#34; is now a totally new song for me.<br /><br />UPDATE : They only lasted about three months.",1
sample_08654,"Title: Looks like a jailhouse PJ top
Review: The fit is as expected on me (snug because I ordered a large instead of XL). This would be perfect with leggings except that it looks like a pajama top with jailhouse stripes. I will be using it for bed because the color and design are not appropriate as a blouse.<br /><br />I love the feel of the fabric. It also stretches to fit. It is made in China of 50% polyester, 45% rayon, and 5% spandex. It machine washes well in a lingerie bag and I air dry it.<br /><br />This would have been a fine top if the look were not so ""pajama-like."" It is an utter disappointment as designed.<br /><br />UPDATE Nov 3, 2019 - I washed this top and it came out very wrinkly. I had to dry it on low in order to get the wrinkles out and it looks fine. However, after the first wash it does not look as good as when it was new but it does not matter to me since I am using this as a PJ top.",0
sample_05210,"Title: It’s ok
Review: The facial brush is perfect but the body brush is much too soft. It barely removed the deodorant from my underarms after multiple times back and forth. I had to go in afterwards with a wash cloth. But I’m keeping it, as I do like the facial brush.",1
sample_01657,"Title: Not worth aggravation!
Review: One ear bud refused to play sound. Discovered this was extremely common. Spent a half hour troubleshooting, when I could’ve been working on my current novel. Tried every fix suggested online in multiple forums and videos. I have NOT had this problem with $20 cheap wireless buds and certainly not with $200 Bose. I’d sworn off Beats years ago due to bad quality, but gave them another try.  I regret it. It’s not worth the aggravation, let alone the hassle of returning defective earbuds. No excuse at this price.",0
sample_03589,"Title: Love the strong fragrance, face feels smooth but not hydrated nor clean
Review: This dispenses as a light and airy foam. As per the instructions, I applied this to my dry face morning and night and let it sit for a minute before rinsing with warm water. My face felt smooth but not hydrated or clean. I found it weird to let it dry and wait before rinsing off. Also, there is no sudsing action. It dries almost to an invisible film.<br /><br />I absolutely love the strong frangrance but do not feel this did much for my face. Although I did not use this to remove make-up, I still felt like I needed to wash my face with soap.<br /><br />Note that my box arrived smashed up and damaged so be aware of that possiblity if buying as a gift.<br /><br />This claims to be vegan, GMO free, eco friendly, and is a woman owned enterprise.<br /><br />In summary, perhaps this will work for someone else but I do not see any purpose for this in my daily routine. I do love the fragrance and how smooth my face feels after using this but I still feel unclean and have to wash my face after. I also love how easy it dispenses but wish the foam had a thicker body feel than light and airy as a feather.",0
sample_03495,"Title: Not too sure about these...
Review: ... they seem to pull on the skin under my eyes and I definitely don't need that!  I'm going to see if putting some moisturizer on my face before I use them will help; if not, I'll donate them because someone might like them better than I do. The cold feels good, but that's about it.",1
sample_03375,"Title: Ok
Review: Not the quality of more expensive bolsters.  A little too squishy.  But not bad. Average",1
sample_04597,"Title: Very sticky!
Review: I feel like I have glue on my lips! Horribly sticky! Yuk!",0
sample_04996,"Title: So so not so great
Review: They work great but stretch out after a couple uses so they don't last long",1
sample_07855,"Title: Fake!
Review: Fake Uggs. Stay away from these. Compared them to ones ordered online to make sure and these were cheap material and the inside wore through after two wears. Waste of money.",0
sample_08490,"Title: snowflake shirt
Review: I believed I was purchased a women's shirt, this is clearly sized for a man, so while I sized up (because of the cotton content) - it is HUGE.  Very disappointed.  The sleeves are 4 to 6"" too long.  The body is like a tunic on me and I am not a small person - 5'7"" - 38DDD.  Just swims on me.  The snowflake is print is really sticky...  Overall, I would not purchased this again.",1
sample_02989,"Title: NOT RELIABLE
Review: Sometimes this charges and a lot of the time it doesn't. It shocks me that after leaving it on the pad overnight it doesn't charge.<br />This is unacceptable",0
sample_07889,"Title: Nice, middle weight pull-over shirt
Review: Love it.  Runs a bit on the small side - but not overly so",2
